,15m,60m,240m,480m
15m,-0.022911920942288538,0.029568550305963386,0.058719851576994435,0.044155844155844164
30m,-0.001694232840002678,0.007729697258451375,0.0702226345083488,0.04090909090909086
60m,-0.006451393384301345,-0.0401321892393321,-0.01883116883116883,0.03423005565862711
120m,0.004654884475082423,0.009829780887160711,-0.05236166001973581,0.12417511025597495
240m,-0.00414650104553321,0.02035029190992495,-0.008128908128908145,0.07652347652347655
480m,0.021475674547580374,0.05470624613481756,0.09445554445554445,0.08281718281718284
